,mobile_title,mobile_rating,mobile_reviews,mobile_prices
0,"Motorola G34 5G (Ocean Green, 128 GB)",4.2,"77,731 Ratings & 5,930 Reviews","₹11,999"
1,"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)",4.2,"1,10,279 Ratings & 7,995 Reviews","₹9,490"
2,"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)",4.2,"1,10,279 Ratings & 7,995 Reviews","₹9,490"
3,"Motorola G34 5G (Charcoal Black, 128 GB)",4.2,"77,731 Ratings & 5,930 Reviews","₹11,999"
4,"Motorola G34 5G (Ice Blue, 128 GB)",4.2,"77,731 Ratings & 5,930 Reviews","₹11,999"
5,"POCO M6 Pro 5G (Power Black, 128 GB)",4.2,"98,078 Ratings & 6,315 Reviews","₹9,999"
6,"Apple iPhone 15 (Black, 128 GB)",4.6,"37,127 Ratings & 2,095 Reviews","₹67,999"
7,"POCO C65 (Pastel Blue, 128 GB)",4.3,"23,804 Ratings & 1,364 Reviews","₹6,799"
8,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)",4.4,"83,473 Ratings & 4,807 Reviews","₹18,725"
9,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)",4.4,"83,473 Ratings & 4,807 Reviews","₹18,772"
10,"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)",4.2,"1,10,279 Ratings & 7,995 Reviews","₹9,490"
11,"Motorola g04s (Satin Blue, 64 GB)",4.3,857 Ratings & 79 Reviews,"₹6,999"
12,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)",4.4,"83,473 Ratings & 4,807 Reviews","₹16,855"
13,"Motorola g64 5G (Pearl Blue, 128 GB)",4.2,"8,539 Ratings & 461 Reviews","₹13,999"
14,"POCO C65 (Matte Black, 128 GB)",4.3,"23,804 Ratings & 1,364 Reviews","₹6,799"
15,"vivo T3x 5G (Celestial Green, 128 GB)",4.5,"21,226 Ratings & 617 Reviews","₹14,999"
16,"Motorola g04s (Concord Black, 64 GB)",4.3,857 Ratings & 79 Reviews,"₹6,999"
17,"POCO C65 (Pastel Green, 128 GB)",4.3,"23,804 Ratings & 1,364 Reviews","₹6,799"
18,"REDMI 13C (Stardust Black, 128 GB)",4.3,"21,757 Ratings & 1,002 Reviews","₹7,699"
19,"vivo T3x 5G (Crimson Bliss, 128 GB)",4.5,"21,226 Ratings & 617 Reviews","₹14,999"
20,"vivo T3x 5G (Celestial Green, 128 GB)",4.4,"4,683 Ratings & 208 Reviews","₹16,499"
21,"vivo T3x 5G (Celestial Green, 128 GB)",4.5,"5,759 Ratings & 189 Reviews","₹13,499"
22,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",4.1,"1,01,541 Ratings & 6,414 Reviews","₹1,199"
23,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)",4.4,"83,473 Ratings & 4,807 Reviews","₹16,875"
